predicate,predicateCount
https://w3id.org/noria/ontology-bib/conceptualCoverage,93
https://w3id.org/noria/ontology-bib/bibliographicCitationCountOrigin,70
http://purl.org/dc/terms/title,52
http://purl.org/dc/terms/bibliographicCitation,51
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,51
http://www.w3.org/ns/dcat#mediaType,51
http://www.w3.org/ns/dcat#theme,51
http://xmlns.com/foaf/0.1/primaryTopic,51
https://w3id.org/noria/ontology-bib/bibliographicCitationCount,51
https://w3id.org/noria/ontology-bib/bibliographicCitationCountOld,51
https://w3id.org/noria/ontology-bib/bibliographicCitationCountOriginRatio,51
https://w3id.org/noria/ontology-bib/downloaded,51
https://w3id.org/noria/ontology-bib/publicImplementation,51
https://w3id.org/noria/ontology-bib/vocabularyExpressivity,51
https://w3id.org/noria/ontology-bib/vocabularyStatsAndExpressivityOrigin,51
https://w3id.org/noria/ontology-bib/classCount,50
https://w3id.org/noria/ontology-bib/dataPropertyCount,50
https://w3id.org/noria/ontology-bib/individualCount,50
https://w3id.org/noria/ontology-bib/mainRelations,50
https://w3id.org/noria/ontology-bib/objectPropertyCount,50
https://w3id.org/noria/ontology-bib/mainConcepts,49
http://www.w3.org/ns/dcat#downloadURL,47
https://w3id.org/noria/ontology-bib/bibliographicCitationCountOriginOld,46
http://www.w3.org/ns/dcat#landingPage,44
http://purl.org/dc/terms/description,43
https://w3id.org/noria/ontology-bib/bibliographicDocumentCategory,39
https://w3id.org/noria/ontology-bib/notes,24
